state,census_2010,census_popk,median_income,year,n_incidents,lawtotal
Alabama,4779736,4780.0,44509,2014,1318,10
Alabama,4779736,4780.0,44509,2015,1034,10
Alabama,4779736,4780.0,44509,2016,1309,10
Alabama,4779736,4780.0,44509,2017,1461,10
Alaska,710231,710.0,75112,2014,146,4
Alaska,710231,710.0,75112,2015,380,4
Alaska,710231,710.0,75112,2016,445,4
Alaska,710231,710.0,75112,2017,317,4
Arizona,6392017,6392.0,52248,2014,556,11
Arizona,6392017,6392.0,52248,2015,480,11
Arizona,6392017,6392.0,52248,2016,554,11
Arizona,6392017,6392.0,52248,2017,587,11
Arkansas,2915918,2916.0,42798,2014,572,11
Arkansas,2915918,2916.0,42798,2015,538,11
Arkansas,2915918,2916.0,42798,2016,720,11
Arkansas,2915918,2916.0,42798,2017,820,11
California,37253956,37254.0,63636,2014,3732,100
California,37253956,37254.0,63636,2015,3234,102
California,37253956,37254.0,63636,2016,3617,104
California,37253956,37254.0,63636,2017,4588,106
Colorado,5029196,5029.0,66596,2014,556,30
Colorado,5029196,5029.0,66596,2015,788,30
Colorado,5029196,5029.0,66596,2016,812,30
Colorado,5029196,5029.0,66596,2017,809,30
Connecticut,3574097,3574.0,72889,2014,583,84
Connecticut,3574097,3574.0,72889,2015,737,84
Connecticut,3574097,3574.0,72889,2016,803,89
Connecticut,3574097,3574.0,72889,2017,780,89
Delaware,897934,898.0,57756,2014,493,38
Delaware,897934,898.0,57756,2015,366,38
Delaware,897934,898.0,57756,2016,328,39
Delaware,897934,898.0,57756,2017,389,40
Florida,18801310,18801.0,48825,2014,3138,21
Florida,18801310,18801.0,48825,2015,2702,21
Florida,18801310,18801.0,48825,2016,4201,21
Florida,18801310,18801.0,48825,2017,4156,21
Georgia,9687653,9688.0,50768,2014,2032,6
Georgia,9687653,9688.0,50768,2015,2767,6
Georgia,9687653,9688.0,50768,2016,1708,6
Georgia,9687653,9688.0,50768,2017,1994,6
Hawaii,1360301,1360.0,64514,2014,48,77
Hawaii,1360301,1360.0,64514,2015,75,77
Hawaii,1360301,1360.0,64514,2016,79,78
Hawaii,1360301,1360.0,64514,2017,68,78
Idaho,1567582,1568.0,51624,2014,115,5
Idaho,1567582,1568.0,51624,2015,177,6
Idaho,1567582,1568.0,51624,2016,155,4
Idaho,1567582,1568.0,51624,2017,163,4
Illinois,12830632,12831.0,60413,2014,3095,64
Illinois,12830632,12831.0,60413,2015,3456,64
Illinois,12830632,12831.0,60413,2016,5055,64
Illinois,12830632,12831.0,60413,2017,5089,64
Indiana,6483802,6484.0,51983,2014,1203,11
Indiana,6483802,6484.0,51983,2015,1320,11
Indiana,6483802,6484.0,51983,2016,1511,12
Indiana,6483802,6484.0,51983,2017,1483,12
Iowa,3046355,3046.0,60855,2014,569,25
Iowa,3046355,3046.0,60855,2015,587,25
Iowa,3046355,3046.0,60855,2016,659,25
Iowa,3046355,3046.0,60855,2017,586,24
Kansas,2853118,2853.0,54865,2014,381,8
Kansas,2853118,2853.0,54865,2015,461,7
Kansas,2853118,2853.0,54865,2016,572,7
Kansas,2853118,2853.0,54865,2017,578,7
Kentucky,4339367,4339.0,42387,2014,977,7
Kentucky,4339367,4339.0,42387,2015,914,7
Kentucky,4339367,4339.0,42387,2016,1021,7
Kentucky,4339367,4339.0,42387,2017,1030,7
Louisiana,4533372,4533.0,45922,2014,1906,12
Louisiana,4533372,4533.0,45922,2015,1692,12
Louisiana,4533372,4533.0,45922,2016,2070,12
Louisiana,4533372,4533.0,45922,2017,1987,12
Maine,1328361,1328.0,50756,2014,183,11
Maine,1328361,1328.0,50756,2015,231,12
Maine,1328361,1328.0,50756,2016,232,12
Maine,1328361,1328.0,50756,2017,203,12
Maryland,5773552,5774.0,73594,2014,1266,63
Maryland,5773552,5774.0,73594,2015,1284,64
Maryland,5773552,5774.0,73594,2016,1293,64
Maryland,5773552,5774.0,73594,2017,1579,64
Massachusetts,6547629,6548.0,67861,2014,968,100
Massachusetts,6547629,6548.0,67861,2015,1338,100
Massachusetts,6547629,6548.0,67861,2016,1544,100
Massachusetts,6547629,6548.0,67861,2017,1761,100
Michigan,9883640,9884.0,54203,2014,1447,20
Michigan,9883640,9884.0,54203,2015,1268,21
Michigan,9883640,9884.0,54203,2016,1316,21
Michigan,9883640,9884.0,54203,2017,1360,21
Minnesota,5303925,5304.0,68730,2014,450,39
Minnesota,5303925,5304.0,68730,2015,410,41
Minnesota,5303925,5304.0,68730,2016,468,41
Minnesota,5303925,5304.0,68730,2017,759,41
Mississippi,2967297,2967.0,40037,2014,784,5
Mississippi,2967297,2967.0,40037,2015,661,5
Mississippi,2967297,2967.0,40037,2016,852,5
