State,city_name,city_type,county,percent_completed_hs,poverty_rate,Median Income,Lat,Lng
AL,Abanda,CDP,,21.2,78.8,11207,33.098839,-85.527824
AL,Abbeville,city,,69.1,29.1,25615,31.5718352,-85.2504893
AL,Adamsville,city,,78.9,25.5,42575,33.6009389,-86.9561059
AL,Addison,town,,81.4,30.7,37083,34.2023243,-87.1814012
AL,Akron,town,,68.6,42,21667,32.8765165,-87.7425105
AL,Alabaster,city,,89.3,11.2,71816,33.2442813,-86.8163773
AL,Albertville,city,,72.7,26.7,32911,34.2675937,-86.2088669
AL,Alexander City,city,,78.1,30.4,29874,32.944012,-85.9538532
AL,Alexandria,CDP,,88.8,9.7,56058,33.7739892,-85.885523
AL,Aliceville,city,,74.3,41.3,21131,33.1295681,-88.1514166
AL,Allgood,town,,48.1,27.7,42009,33.9120429,-86.5094315
AL,Altoona,town,,66.9,27.5,27566,34.0262082,-86.3260923
AL,Andalusia,city,,81.1,24.5,31968,31.3085039,-86.4832913
AL,Anderson,town,,85.7,13.8,34792,34.9284179,-87.266407
AL,Anniston,city,,79.8,31.7,29681,33.6598257,-85.8316318
AL,Arab,city,,87.6,16.7,40292,34.3181497,-86.4958219
AL,Ardmore,town,,77.7,19.1,35670,34.9840722,-86.8396032
AL,Argo,town,,87.5,8.6,57212,33.6884778,-86.5021814
AL,Ariton,town,,71.3,37.6,24286,31.6001655,-85.7188298
AL,Arley,town,,80.6,31.6,28750,34.0789929,-87.2122325
AL,Ashford,town,,83.5,18.8,42704,31.1829562,-85.236321
AL,Ashland,town,,77.9,22.4,31438,33.2737256,-85.8360741
AL,Ashville,city,,77.6,28.3,40547,33.8370433,-86.2544223
AL,Athens,city,,83.4,13,47542,34.8028661,-86.9716741
AL,Atmore,city,,73.7,24.7,26775,31.0237921,-87.4938708
AL,Attalla,city,,76,20.3,37191,34.0217639,-86.0885852
AL,Auburn,city,,94.3,31.8,38342,32.6098566,-85.4807825
AL,Autaugaville,town,,71.2,24.1,24833,32.4340249,-86.6547019
AL,Avon,town,,82.8,22.2,40417,31.1893444,-85.2860436
AL,Axis,CDP,,79.9,6.8,55750,30.9297926,-88.0272647
AL,Babbie,town,,81.2,15.7,41912,31.2796139,-86.3255085
AL,Baileyton,town,,74.7,28.6,31875,34.2623179,-86.6127712
AL,Bakerhill,town,,72.4,19.1,31875,31.7810167,-85.3021793
AL,Ballplay,CDP,,80.3,7.1,37778,34.058746,-85.808967
AL,Banks,town,,73,38.2,28750,31.8151585,-85.8430034
AL,Bay Minette,city,,79.1,26.3,31576,30.8829628,-87.7730474
AL,Bayou La Batre,city,,58.5,30.1,34583,30.4069515,-88.2607188
AL,Bear Creek,town,,76.7,25.3,35563,34.2748197,-87.7005833
AL,Beatrice,town,,89.1,44.9,18417,31.7334888,-87.2047082
