State,City,percent_completed_hs,poverty_rate,Median Income
AL,Abanda CDP (Test Country),21.2,78.8,11207
AL,Abbeville city,69.1,29.1,25615
AL,Adamsville city,78.9,25.5,42575
AL,Addison town,81.4,30.7,37083
AL,Akron town,68.6,42,21667
AL,Alabaster city,89.3,11.2,71816
AL,Albertville city,72.7,26.7,32911
AL,Alexander City city,78.1,30.4,29874
AL,Alexandria CDP,88.8,9.7,56058
AL,Aliceville city,74.3,41.3,21131
AL,Allgood town,48.1,27.7,42009
AL,Altoona town,66.9,27.5,27566
AL,Andalusia city,81.1,24.5,31968
AL,Anderson town,85.7,13.8,34792
AL,Anniston city,79.8,31.7,29681
AL,Arab city,87.6,16.7,40292
AL,Ardmore town,77.7,19.1,35670
AL,Argo town,87.5,8.6,57212
AL,Ariton town,71.3,37.6,24286
AL,Arley town,80.6,31.6,28750
AL,Ashford town,83.5,18.8,42704
AL,Ashland town,77.9,22.4,31438
AL,Ashville city,77.6,28.3,40547
AL,Athens city,83.4,13,47542
AL,Atmore city,73.7,24.7,26775
AL,Attalla city,76,20.3,37191
AL,Auburn city,94.3,31.8,38342
AL,Autaugaville town,71.2,24.1,24833
AL,Avon town,82.8,22.2,40417
AL,Axis CDP,79.9,6.8,55750
AL,Babbie town,81.2,15.7,41912
AL,Baileyton town,74.7,28.6,31875
AL,Bakerhill town,72.4,19.1,31875
AL,Ballplay CDP,80.3,7.1,37778
AL,Banks town,73,38.2,28750
AL,Bay Minette city,79.1,26.3,31576
AL,Bayou La Batre city,58.5,30.1,34583
AL,Bear Creek town,76.7,25.3,35563
AL,Beatrice town,89.1,44.9,18417
AL,Beaverton town,87.9,8.1,31875
AL,Belgreen CDP,87,28.8,27750
AL,Belk town,63.8,39.1,28906
AL,Bellamy CDP,86.5,42.9,22132
AL,Belle Fontaine CDP,91.9,36.7,34615
AL,Benton town,100,0,(X)
AL,Berry town,65.4,30.9,25865
AL,Bessemer city,81.5,32.9,29615
AL,Billingsley town,71.3,20.5,41250
AL,Birmingham city,85.1,30.9,31061
AL,Black town,90,12.7,41071
AL,Blountsville town,73.1,41.2,30152
AL,Blue Ridge CDP,97.6,0.5,96333
AL,Blue Springs town,95.6,4,45313
AL,Boaz city,76.6,19.4,35974
AL,Boligee town,79.9,60.3,12173
AL,Bon Air town,85.7,47.6,23750
AL,Bon Secour CDP,79,18.2,(X)
AL,Boykin CDP,53.7,53.7,(X)
AL,Brantley town,75.1,20.7,27870
AL,Brantleyville CDP,85.1,19.2,40370
AL,Brent city,73.8,17.3,33924
AL,Brewton city,84.5,27.8,31033
AL,Bridgeport city,74.9,34.7,28571
AL,Brighton city,78.6,33,22146
AL,Brilliant town,75.9,22.5,25893
AL,Bristow Cove CDP,65.1,39.7,(X)
AL,Brook Highland CDP,96.2,11.5,60212
AL,Brookside town,78.7,19.2,34554
AL,Brookwood town,83.1,10.8,51515
AL,Broomtown CDP,66.2,23.8,28750
AL,Brundidge city,77.2,32.4,23819
AL,Bucks CDP,100,0,-
AL,Butler town,80.2,25.3,28950
AL,Calera city,89.1,5.8,62893
AL,Calvert CDP,22.8,79.4,-
AL,Camden city,82.8,31.9,28375
AL,Camp Hill town,76.6,36.6,25118
AL,Carbon Hill city,65.4,32.2,25990
AL,Cardiff town,72.7,30,(X)
AL,Carlisle-Rockledge CDP,73.1,17.2,35938
AL,Carlton CDP,77,18.9,(X)
AL,Carolina town,87.8,7.4,50278
AL,Carrollton town,71,29.1,27857
AL,Castleberry town,75.9,39.6,20677
AL,Catherine CDP,100,0,-
AL,Cedar Bluff town,77.9,25.8,36389
AL,Center Point city,87.1,25,39944
AL,Centre city,76.7,25.1,31268
AL,Centreville city,81.6,22.4,41103
AL,Chatom town,76,19.8,35365
AL,Chelsea city,93.5,4.9,85757
AL,Cherokee town,80.9,19.9,28359
AL,Chickasaw city,79.9,33.6,30973
AL,Childersburg city,78.8,38.6,25948
AL,Choccolocco CDP,89.4,14.7,54825
AL,Chunchula CDP,91.2,0,(X)
AL,Citronelle city,82.5,16.9,48125
AL,Clanton city,76.8,16.9,39823
AL,Clay city,92.2,6.6,68717
AL,Clayhatchee town,85.3,16.4,32656
AL,Clayton town,57.8,29.3,25203
AL,Cleveland town,74.4,15,40909
AL,Clio city,63.1,31.4,19539
AL,Coaling town,88.2,19.5,54167
AL,Coats Bend CDP,90.9,15,42821
AL,Coffee Springs town,78,21.2,33636
AL,Coffeeville town,71.7,41.3,19583
AL,Coker town,89.2,10,45795
AL,Collinsville town,52,32.1,25795
AL,Colony town,77,24.8,33063
AL,Columbia town,79,20.1,31806
AL,Columbiana city,74.4,24,32700
AL,Concord CDP,91.3,7.9,44620
AL,Coosada town,84.3,23.5,47406
AL,Cordova city,79.8,32.8,19139
AL,Cottondale CDP,74.9,12.8,43875
AL,Cottonwood town,76.3,29.8,25313
AL,County Line town,83.9,10.7,55313
AL,Courtland town,79.6,25.8,33125
AL,Cowarts town,86,11.7,43533
AL,Creola city,84.4,18.1,51705
AL,Crossville town,70.4,38.1,30833
AL,Cuba town,92.1,21,40673
AL,Cullman city,85.3,21.9,38746
AL,Cullomburg CDP,93.4,8.5,(X)
AL,Cusseta town,83.7,9.3,52500
AL,Dadeville city,73.7,28.8,29368
AL,Daleville city,85.3,24.5,45651
AL,Daphne city,95.8,11.2,60737
AL,Dauphin Island town,95.8,3.6,63594
AL,Daviston town,87.8,12.9,47639
AL,Dayton town,100,48,(X)
AL,Deatsville town,96.3,5.1,78125
AL,Decatur city,82.7,21.2,41496
AL,Deer Park CDP,86.3,28.1,(X)
AL,Delta CDP,87,0,(X)
AL,Demopolis city,89.1,31,27656
AL,Detroit town,64.8,27.9,24107
AL,Dodge City town,81.7,16.7,41346
AL,Dora city,82.3,17.2,40769
AL,Dothan city,86.2,19.1,42426
AL,Double Springs town,74.5,27.5,29063
AL,Douglas town,78.5,34.9,29318
AL,Dozier town,79.1,30.3,21765
AL,Dunnavant CDP,76,7.7,42857
AL,Dutton town,90.6,24.2,39688
AL,East Brewton city,83.6,30.6,26736
AL,East Point CDP,91.4,0,62059
AL,Eclectic town,84.2,13.4,41304
AL,Edgewater CDP,84.1,26.5,26818
AL,Edwardsville town,87,5.1,38438
AL,Egypt CDP,84.9,4.5,56693
AL,Elba city,76.9,31.1,26156
AL,Elberta town,85.8,15.8,31190
AL,Eldridge town,75,37.8,30000
AL,Elkmont town,78.2,11.2,39583
AL,Elmore town,70.5,30,40150
AL,Emelle town,79.3,0,36250
AL,Emerald Mountain CDP,90.9,8.2,91054
AL,Enterprise city,89.2,16.3,54450
AL,Epes town,81.6,24.8,25000
AL,Ethelsville town,80.6,32.3,40417
AL,Eufaula city,81.5,25.3,32845
AL,Eunola CDP,96.1,0,42023
AL,Eutaw town,73.2,32.7,22377
AL,Eva town,91.2,11.1,39868
AL,Evergreen city,79.2,52.6,18661
AL,Excel town,86,18.6,34375
AL,Fairfield city,88.9,23.4,34890
AL,Fairford CDP,57.6,0,32269
AL,Fairhope city,95.4,11.2,61489
AL,Fairview town,82,24,37750
AL,Falkville town,65.1,26,33846
AL,Faunsdale town,85.7,30.2,20625
AL,Fayette city,79.1,25.9,30646
AL,Fayetteville CDP,68.5,15.3,34632
AL,Fitzpatrick CDP,60.7,15.5,(X)
AL,Five Points town,61.9,20.4,45000
AL,Flomaton town,77.3,30.2,24406
AL,Florala town,79.6,30.1,25673
AL,Florence city,84.4,24.6,35731
AL,Foley city,91.5,18.9,40938
AL,Forestdale CDP,93.5,17,48654
AL,Forkland town,74.1,48.1,19063
AL,Fort Deposit town,70.5,30.2,23963
AL,Fort Payne city,67.7,19,38833
AL,Fort Rucker CDP,98.8,8,59265
AL,Franklin town,85,6.6,60417
AL,Fredonia CDP,88.6,18.4,66591
AL,Frisco City town,77.3,31.3,17311
AL,Fruitdale CDP,93.3,33,63125
AL,Fruithurst town,75.8,13.5,35625
AL,Fulton town,76,19.9,32083
AL,Fultondale city,85.1,14,51587
AL,Fyffe town,83.7,12.8,42356
AL,Gadsden city,78.3,29.4,29136
AL,Gainesville town,76.7,40.9,14444
AL,Gallant CDP,83.7,3.9,45859
AL,Gantt town,85.6,8.3,47000
AL,Garden City town,79.8,19.3,31591
AL,Gardendale city,92.2,7.8,56132
AL,Gaylesville town,78.4,19.3,26818
AL,Geiger town,71.3,19.5,45125
AL,Geneva city,78.1,30.3,29912
AL,Georgiana town,71.1,35.5,19969
AL,Geraldine town,84.2,13.8,42292
AL,Gilbertown town,83.8,21.5,33750
AL,Glen Allen town,76.5,21.4,24531
AL,Glencoe city,86.6,11.1,46691
AL,Glenwood town,84.8,13.6,36000
AL,Goldville town,86.7,9.3,46250
AL,Good Hope town,86.5,15.2,47754
AL,Goodwater town,71.6,32.2,23809
AL,Gordo town,80.4,26.3,30781
AL,Gordon town,66.8,26.9,22250
AL,Gordonville town,76.1,39.2,18224
AL,Goshen town,71.2,31.9,40132
AL,Graham CDP,74,4.5,41914
AL,Grand Bay CDP,84.6,6.4,48767
AL,Grant town,89.2,7.2,55000
AL,Grayson Valley CDP,90.4,8.9,46250
AL,Graysville city,79.8,17.4,41282
AL,Greensboro city,75,39.3,21797
AL,Greenville city,78.4,25.8,29741
AL,Grimes town,84.5,19.1,31579
AL,Grove Hill town,85.8,26.1,31786
AL,Guin city,75.4,37.5,23000
AL,Gulfcrest CDP,87.2,0,68462
AL,Gulf Shores city,92.9,16.6,47662
AL,Guntersville city,83.1,16.2,39756
AL,Gurley town,74.5,30.8,32500
AL,Gu-Win town,87.2,12,39000
AL,Hackleburg town,76.5,25.7,28819
AL,Hackneyville CDP,95.1,17.8,60474
AL,Haleburg town,80,8.3,54167
AL,Haleyville city,70.7,26.8,24291
AL,Hamilton city,82.7,18.5,33053
AL,Hammondville town,74.5,8,43281
AL,Hanceville city,77.7,25.8,29231
AL,Harpersville town,80.7,18.8,35972
AL,Hartford city,70.6,36.7,22094
AL,Hartselle city,91.9,6.9,53878
AL,Harvest CDP,90.6,5.5,63708
AL,Hatton CDP,83.2,0,(X)
AL,Hayden town,83.4,7.9,50795
AL,Hayneville town,72.1,44.4,18802
AL,Hazel Green CDP,88.2,14.9,41938
AL,Headland city,88.1,13.1,51822
AL,Heath town,80.3,32.5,38333
AL,Heflin city,74.3,22.6,25823
AL,Helena city,97.7,2.1,84615
AL,Henagar city,71.7,19.4,30757
AL,Highland Lake town,94.3,9.2,51250
AL,Highland Lakes CDP,97.6,2,124291
AL,Hillsboro town,74.6,17.6,34712
AL,Hissop CDP,73.8,23.2,25032
AL,Hobson CDP,63.6,0,(X)
AL,Hobson City town,77.3,41.3,25563
AL,Hodges town,69.3,26.9,29583
AL,Hokes Bluff city,89.2,13.7,46042
AL,Hollins CDP,68.2,24.4,(X)
AL,Hollis Crossroads CDP,71.4,29,34408
AL,Holly Pond town,90.4,19,44750
AL,Hollywood town,71.3,20.3,29306
AL,Holt CDP,75,46.4,30446
AL,Holtville CDP,85.6,11.1,52713
AL,Homewood city,93.5,12.7,61626
AL,Hoover city,95.2,6,77146
AL,Horn Hill town,66.3,10.2,34464
AL,Hueytown city,86.5,14.3,42172
AL,Huguley CDP,79.3,16.3,42063
AL,Huntsville city,90.2,18.2,48775
AL,Hurtsboro town,75.3,46,19732
AL,Hytop town,70.6,14.7,38542
AL,Ider town,80.5,15.4,32692
AL,Indian Springs Village city,97.2,4.4,96346
AL,Irondale city,87.4,20.5,47351
AL,Ivalee CDP,77,0,50737
AL,Jackson city,85.8,24.7,31232
AL,Jacksons' Gap town,67.1,26.1,36719
AL,Jacksonville city,89,31.2,38903
